,Lat.,Long.,Road,Cross reference,Distance,Direction,Location,,Sign Type,C2C,Arrows,,,,No Fires,No Camping,USFS,Hiker,Cross,Blind,Blinds,Hiking,Biking,No Horses,C2C,Arrows,,,,USFS,Hiker,Cross,Blind,Blinds,Hiking,Biking,No Horses,No Fires,No Camping,Remarks
,,,,,,,,,,,Left,Right,Up,Dual,,,,,,,,,,,,Left,Right,Up,Both,,,,,,,,,,,
1,44 32.162,-123 23.502,Old Peak Rd,Hwy 34,20 ft,W,on NW side of inter,new post,Aluminum (2),2,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2,44 31.864,-123 32.677,Old Peak Rd,Hwy 34,150 ft,W,on north side,new post,Hikers on road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,44 32.189,-123 23.875,Old Peak Rd,Abbey Ln,20 ft,W,on south side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
4,44 32.243,-123 24.163,Old Peak Rd,Ada Dr,0 ft,W,on south side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
5,44 32.725,-123 25.289,Old Peak Rd,Dorset ,0.9 mi,W,on south side,,Carsonite,1,,,,,,,,1,1,1,,,,,1,,,1,,,1,1,1,,,,,1,1,
6,44 32.386,-123 26.183,Old Peak Rd,Dorset ,2.1 mi ,W,on south side ,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
7,44 32.287,-123 26.615,Old Peak Rd,Dorset ,2.5 mi,W,on south side ,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
8,44 32.094,-123 27.044,Old Peak Rd,Dorset ,3.45 mi,W,on south side @ Starker parking,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
9,44 31.894,-123 27.935,Old Peak Rd,above gate,0.6 mi,W,"on south side (city adds new sign, too)",,Carsonite,1,,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,1,1,
10,44 32.098,-123 28.334,Old Peak Rd,above gate,0.9 mi,W,on south side at meadow,,City ORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,44 32.089,-123 28.380,Old Peak Rd,above gate,1.0 mi,W,on south side at meadow,,City ORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,44 32.089,-123 28.431,Old Peak Rd,above gate,1.1 mi,W,on south side at meadow,,City ORD,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
13,44 32.094,-123 28.451,Old Peak Rd,above gate,1.1 mi,W,on south side,,Carsonite,1,,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,1,1,
14,44 32.329,-123 28.483,Old Peak Rd,above gate,1.4 mi,W,3-way east side,,Carsonite,no,stickers,on,this,side,,,,no,stickers,on,this,side,,,1,,1,,,,,,,,,,,1,1,
15,44 32.331,-123 28.476,Old Peak Rd,above gate,1.4 mi,W,3-way north side,,Carsonite,1,1,,,,1,1,,,,,,,,,no,on,this,side,,,,,no,stickers,on,this,side,,,
16,44 32.351,-123 28.643,Old Peak Rd,above gate,1.5 mi,W,on south side,,Carsonite,1,?,,,,1,1,1,,,,,,,,1,,?,,,,,,,,,,,1,1,
17,44 32.404,-123 28.991,Old Peak Rd,above gate,1.8 mi,W,on north side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,1,1,
18,44 32.374,-123 29.130,Old Peak Rd,above gate,1.9 mi,W,on north side,,Carsonite,1,1,,,,1,1,,,,,,,,,1,,1,,,,,,,,,,,1,1,
19,44 32.198,-123 29.470,Old Peak Rd,above gate,2.3 mi,W,on north side,,Carsonite,1,,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,1,1,
20,44 32.202,-123 29.531,Old Peak Rd,above gate,2.5 mi,W,on south road trace 20-ft west side,,City ORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,44 32.209,-123 29.592,Old Peak Rd,above gate,2.5 mi,W,on south road trace 30-ft east side,,City ORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,44 32.213,-123 29.594,Old Peak Rd,above gate,2.5 mi,W,on north side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
23,44 32.271,-123 29.775,Old Peak Rd,above gate,2.7 mi,W,on south side at FS boundary,,Carsonite,1,,,1,,1,1,1,,,,,,,,1,,,1,,,,,,,,,1,1,1,
24,44 32.311,-123 30.188,Old Peak Rd,above gate,3.1 mi,W,reass. on north side ,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
25,44 32.399,-123 30.945,Old Peak Rd,above gate,est 3.7 mi,W,on north side at new logging road jct,,Carsonite,1,,,1,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,1,
26,44 32.456,-123 31.167,Woods Creek Rd,Hwy 20,6.0 mi,W,south side near gate (new city sign too?),,Carsonite,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,1,
27,44 32.451,-123 31.184,Woods Creek Rd,Hwy 20,6.0 mi,W,south side at trail post,,Carsonite,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,
28,44 31.863,-132 32.685,Woods Creek Rd,Hwy 20,7.5 mi,W,SW corner of inter,new post,Aluminum,,,,,X,,,,,,,,,,,1,,,,,,,,,,,,,,,
29,44 31.827,-123 32.699,Forest Service Rd 2005,Woods Ck Rd,184 ft,S,Behind gate,,Carsonite,1,,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,1,,
30,44 31.831,-123 32.700,Forest Service Rd 2005,Woods Ck Rd,219 ft,S,Behind gate,,Carsonite,1,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,1,
31,44 31.864,-123.677,Woods Creek Rd,Forest Service Road 2005,75 ft,W,on north side,new post,Hikers 4 mi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
32,44 31.989,-123 33.096,Woods Creek Rd,Rd 2005,0.4 mi,W,on south side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,1,1,
33,44 32.190,-123 33.397,Woods Creek Rd,Rd 2005,0.5 mi,W,on north side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
34,44 32.199,-123 33.403,Woods Creek Rd,Rd 2006,0.9 mi ,,on north side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
35,44 32.195,-123 33.443,Woods Creek Rd,Rd 2005,0.95 mi,W,at 3-way on north side,,Carsonite,1,,1,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,1,1,
36,44 32.194,-123 33.447,Woods Creek Rd,Rd 2005,0.95 mi,W,at 3-way on west side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,1,1,
37,44 32.368,-123 33.410,Woods Creek Rd,Rd 2005,1.1 mi,W,at 3-way with Tum-tum on west side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
38,44 32.404,-123 33.453,Woods Creek Rd,Rd 2005,1.2 mi,W,at 3-way with Tum-tum on north side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
39,44 32.359,-123 33.848,Woods Creek Rd,Rd 2005,1.6 mi,W,on north side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
40,44 32.403,-123 33.915,Woods Creek Rd,Rd 2005,1.7 mi,W,on north side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,1,1,
41,44 32.391,-123 34.036,Woods Creek Rd,Rd 2005,1.8 mi,W,on north side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
42,44 32.533,-123 34.149,Woods Creek Rd,Rd 2005,2.0 mi,W,north side,,Carsonite,1,,,1,,x,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
43,44 32.582,-123 34.238,Woods Creek Rd,Rd 2005,2.1 mi,W,north side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
44,44 32.613,-123 34.373,Woods Creek Rd,Rd 2005,2.3 mi,W,south side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
45,44 32.696,-123 34.741,Woods Creek Rd,Rd 2005,2.6 mi,W,south side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
46,44 32.696,-123 34.882,Woods Creek Rd,Rd 2005,2.7 mi,W,south side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
47,44 32.839,-123 35.164,Woods Creek Rd,Rd 2005,3.1 mi,W,south side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,1,,,,,,,,,,,1,1,
48,44 32.718,-123 35.676,Woods Creek Rd,Rd 2005,3.6 mi,W,south side,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
49,44 32.699,-123 35.805,Woods Creek Rd,Rd 2005,3.7 mi,W,south side,,Carsonite,1,,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,1,1,
50,44 32.875,-123 36.212,Shotpouch Rd,Rd 2005,4.1 mi,W,east side of inter (1 of 2) facing E-W,,Carsonite,no,this,side,,no,symbols,,symbols,this,side,,no,symbols,this,side,1,,1,,,,,,,,,,,1,1,
51,44 32.875,-123 36.212,Shotpouch Rd,Rd 2005,4.1 mi,W,east side of inter (1 of 2) facing N-S,,Carsonite,1,1,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
52,44 32.878,-123 36.221,Shotpouch Rd,Rd 2005,4.1 mi,W,new post SW of inter (3 signs at 90 deg.) incudeds hikers next 4 mi,,Aluminum (2),,x,x,,,,,,,,,,,,,x,x,x,,,,,,,,,,,1,1,
53,44 32.636,-123 36.470,Shotpouch Trail Rd,Shotpouch Rd,0.4 mi,W,before center gate at 4-way,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
54,44 32.718,-123 36.980,Forest Service Rd 3012,Shotpouch Rd,1.1 mi,W,at Forest Service bounday,gated,Carsonite,1,,,1,,1,,1,,,,,,,,1,,,1,,,,,,,,,,1,1,
55,44 32.707,-123 37.046,Forest Service Rd 3012,Shotpouch Rd,1.2 mi,W,end of driveable road,gated,Carsonite,1,,,1,,1,,1,,,,,,,,1,,,1,,1,,,,,,,,1,,
56,44 32.427,-123 37.231,Forest Service Rd 3012,Shotpouch Rd,1.6 mi,W,at trailhead,0.4 mi walk in,Carsonite,1,1,,,,1,,1,,,,,,,,1,,,1,,1,,,,,,,,1,,
57,44 32.381,-123 37.132,Lincoln County Rd 538,previous sign,0.5 mi,ESE,at Forest Service boundary,walk in,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,1,,
58,44 32.090,-123 37.286,Lincoln County Rd 538,Marys Pk Rd,1.0 mi,E,1.0 mi East of gate at Marys Peak Rd north side,gated,Carsonite,1,,,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,1,1,
59,44 32.085,-123 37.319,Lincoln County Rd 538,Marys Pk Rd,1.0 mi,E,1.0 mi East of gate at Marys Peak Rd south side,gated,Carsonite,1,,1,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
60,44 31.659,-123 38.274,Marys Peak Rd,Burnt Woods Rd,3.4 mi,E,SW corner of inter 30 ft near Van Eck gate,,Carsonite,1,1,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
61,44 31.656,-123 38.293,Marys Peak Rd,Burnt Woods Rd,3.4 mi,E,NE corner of inter 10 ft near Van Eck gate,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
62,44 32.005,-123 40.340,Marys Peak Rd,Burnt Woods Rd,1.5 mi,E,north side,curves,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,,,,1,1,,1,,,,1,1,
63,44 32.265,-123 40.567,Marys Peak Rd,Burnt Woods Rd,1.1 mi,E,north side across from Rd 3015 inter,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
64,44 32.270,-123 41.147,Marys Peak Rd,Burnt Woods Rd,0.45 mi,E,north side,curve,Carsonite,1,,,1,,1,,,,,,,,,,1,,,,,,1,1,1,,,,,,,
65,44 32.310,-123 41.247,Marys Peak Rd,Burnt Woods Rd,0.4 mi,E,north side,curve,Carsonite,1,,,1,,1,,,,,,,,,,1,,,,,,1,1,1,,,,,,,
66,44 32.368,-123 41.461,Marys Peak Rd,Burnt Woods Rd,0.2 mi,E,north side,curve,Carsonite,1,,,1,,1,,,,,,,,,,1,,,,,,1,1,1,,,,,,,
67,not needed,for one call,Marys Peak Rd,Burnt Woods Rd,0 mi,,existing post at Harlan intersection,,Aluminum,,,,,x,,,,,,,,,,,1,,,,,,,,,,,,,,,
68,44 32.503,-123 41.729,Elk City Rd,Feagle Creek Rd,0,,north side at insection,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,1,1,
69,44 32.509,-123 42.654,Elk City Rd,Grant Creek Rd,0.1 mi,ESE,north side,curve,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,,,,1,1,1,,,,,,,
70,44 32.581,-123 42.725,Elk City Rd,Grant Creek Rd,0,,north side at intersection,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,1,1,
71,44 32.646,-123 42.313,Elk City Rd,Grant Creek Rd,0.5 mi,W,at Big Elk Campground - north side,,Carsonite,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,1,
72,44 32.658,-123 43.337,Elk City Rd,Grant Creek Rd,0.5 mi,W,at Big Elk Campground - south side,,Carsonite,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,
,,,,,,,,,,61,7,3,48,0,55,45,5,1,1,1,0,0,0,1,57,5,6,39,0,5,6,6,5,1,0,0,1,58,54,
,,,,,,,,,,,stickers,sheets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,C2C,,,,118,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,No Fires,,,,115,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Arrow,,,,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,No Camping,,,,98,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,USFS,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,No Horses,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
